District_code,State_name,District_name,Population,Male,Female,Literate,Male_Literate,Female_Literate
461,MADHYA PRADESH,Anuppur,749237,379114,370123,436595,254120,182475
462,MADHYA PRADESH,Sidhi,1127033,575912,551121,600785,353030,247755
463,MADHYA PRADESH,Singrauli,1178273,613637,564636,585054,359923,225131
464,MADHYA PRADESH,Jhabua,1025048,515023,510025,352081,214582,137499
465,MADHYA PRADESH,Alirajpur,728999,362542,366457,209754,120905,88849
466,MADHYA PRADESH,Khandwa (East Nimar),1310061,674329,635732,731615,432259,299356
467,MADHYA PRADESH,Burhanpur,757847,388504,369343,408679,233073,175606
468,GUJARAT,Kachchh,2092371,1096737,995634,1252319,739239,513080
469,GUJARAT,Banas Kantha,3120506,1610379,1510127,1704923,1048402,656521
470,GUJARAT,Patan,1343734,694397,649337,837913,494631,343282
471,GUJARAT,Mahesana,2035064,1056520,978544,1502645,847499,655146
472,GUJARAT,Sabar Kantha,2428589,1244231,1184358,1578734,918625,660109
473,GUJARAT,Gandhinagar,1391753,723864,667889,1030494,582686,447808
474,GUJARAT,Ahmadabad,7214225,3788051,3426174,5435760,3025463,2410297
475,GUJARAT,Surendranagar,1756268,909917,846351,1093626,643221,450405
476,GUJARAT,Rajkot,3804558,1974445,1830113,2725056,1514075,1210981
477,GUJARAT,Jamnagar,2160119,1114192,1045927,1396534,795140,601394
478,GUJARAT,Porbandar,585449,300209,285240,393678,221621,172057
479,GUJARAT,Junagadh,2743082,1404356,1338726,1842818,1046981,795837
480,GUJARAT,Amreli,1514190,771049,743141,995459,558180,437279
481,GUJARAT,Bhavnagar,2880365,1490201,1390164,1887255,1087371,799884
482,GUJARAT,Anand,2092745,1087224,1005521,1551253,874481,676772
483,GUJARAT,Kheda,2299885,1185727,1114158,1660243,942480,717763
484,GUJARAT,Panch Mahals,2390776,1226961,1163815,1440805,858054,582751
485,GUJARAT,Dohad,2127086,1068651,1058435,1007171,599035,408136
486,GUJARAT,Vadodara,4165626,2153736,2011890,2893080,1614087,1278993
487,GUJARAT,Narmada,590297,301086,289211,370336,211767,158569
488,GUJARAT,Bharuch,1551019,805707,745312,1118276,623047,495229
489,GUJARAT,The Dangs,228291,113821,114470,140968,77314,63654
490,GUJARAT,Navsari,1329672,678165,651507,1001909,539471,462438
491,GUJARAT,Valsad,1705678,887222,818456,1170657,655528,515129
492,GUJARAT,Surat,6081322,3402224,2679098,4571410,2687468,1883942
493,GUJARAT,Tapi,807022,402188,404834,490036,269007,221029
494,DAMAN AND DIU,Diu,52074,25642,26432,38058,20327,17731
495,DAMAN AND DIU,Daman,191173,124659,66514,150348,104316,46032
496,DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,343709,193760,149949,223230,142521,80709
497,MAHARASHTRA,Nandurbar,1648295,833170,815125,906509,512099,394410
498,MAHARASHTRA,Dhule,2050862,1054031,996831,1293916,723388,570528
499,MAHARASHTRA,Jalgaon,4229917,2197365,2032552,2891882,1629223,1262659
500,MAHARASHTRA,Buldana,2586258,1337560,1248698,1879874,1048892,830982
501,MAHARASHTRA,Akola,1813906,932334,881572,1411281,758977,652304
502,MAHARASHTRA,Washim,1197160,620302,576858,869917,487703,382214
503,MAHARASHTRA,Amravati,2888445,1480768,1407677,2251875,1207104,1044771
504,MAHARASHTRA,Wardha,1300774,668385,632389,1019458,552617,466841
505,MAHARASHTRA,Nagpur,4653570,2384975,2268595,3673808,1959220,1714588
506,MAHARASHTRA,Bhandara,1200334,605520,594814,899860,488709,411151
507,MAHARASHTRA,Gondiya,1322507,661554,660953,1004243,542837,461406
508,MAHARASHTRA,Gadchiroli,1072942,541328,531614,708365,395110,313255
509,MAHARASHTRA,Chandrapur,2204307,1123834,1080473,1578615,872565,706050
510,MAHARASHTRA,Yavatmal,2772348,1419965,1352383,2022574,1115980,906594
511,MAHARASHTRA,Nanded,3361292,1730075,1631217,2189425,1255222,934203
512,MAHARASHTRA,Hingoli,1177345,606294,571051,790743,450551,340192
513,MAHARASHTRA,Parbhani,1836086,942870,893216,1157814,666291,491523
514,MAHARASHTRA,Jalna,1959046,1011473,947573,1195523,699428,496095
515,MAHARASHTRA,Aurangabad,3701282,1924469,1776813,2503837,1430936,1072901
516,MAHARASHTRA,Nashik,6107187,3157186,2950001,4345366,2397538,1947828
517,MAHARASHTRA,Thane,11060148,5865078,5195070,8227161,4591396,3635765
518,MAHARASHTRA,Mumbai Suburban,9356962,5031323,4325639,7575485,4223029,3352456
519,MAHARASHTRA,Mumbai,3085411,1684608,1400803,2509022,1410680,1098342
520,MAHARASHTRA,Raigarh,2634200,1344345,1289855,1939994,1059692,880302
521,MAHARASHTRA,Pune,9429408,4924105,4505303,7171723,3940210,3231513
522,MAHARASHTRA,Ahmadnagar,4543159,2342825,2200334,3151890,1773355,1378535
523,MAHARASHTRA,Bid,2585049,1349106,1235943,1718507,987185,731322
524,MAHARASHTRA,Latur,2454196,1273140,1181056,1650672,932432,718240
525,MAHARASHTRA,Osmanabad,1657576,861535,796041,1137810,644304,493506
526,MAHARASHTRA,Solapur,4317756,2227852,2089904,2910676,1651266,1259410
527,MAHARASHTRA,Satara,3003741,1510842,1492899,2225694,1201034,1024660
528,MAHARASHTRA,Ratnagiri,1615069,761121,853948,1199392,619012,580380
529,MAHARASHTRA,Sindhudurg,849651,417332,432319,666067,348289,317778
530,MAHARASHTRA,Kolhapur,3876001,1980658,1895343,2825845,1559760,1266085
531,MAHARASHTRA,Sangli,2822143,1435728,1386415,2049467,1121550,927917
532,ANDHRA PRADESH,Adilabad,2741239,1369597,1371642,1483347,856350,626997
533,ANDHRA PRADESH,Nizamabad,2551335,1250641,1300694,1389810,790214,599596
534,ANDHRA PRADESH,Karimnagar,3776269,1880800,1895469,2206829,1257238,949591
535,ANDHRA PRADESH,Medak,3033288,1523030,1510258,1637137,953406,683731
536,ANDHRA PRADESH,Hyderabad,3943323,2018575,1924748,2892155,1542688,1349467
537,ANDHRA PRADESH,Rangareddy,5296741,2701008,2595733,3538028,1948784,1589244
538,ANDHRA PRADESH,Mahbubnagar,4053028,2050386,2002642,1940646,1158386,782260
539,ANDHRA PRADESH,Nalgonda,3488809,1759772,1729037,2001019,1160757,840262
540,ANDHRA PRADESH,Warangal,3512576,1759281,1753295,2065023,1179790,885233
541,ANDHRA PRADESH,Khammam,2797370,1390988,1406382,1630234,901640,728594
542,ANDHRA PRADESH,Srikakulam,2703114,1341738,1361376,1495381,857824,637557
543,ANDHRA PRADESH,Vizianagaram,2344474,1161477,1182997,1238388,707503,530885
544,ANDHRA PRADESH,Visakhapatnam,4290589,2138910,2151679,2568249,1422878,1145371
545,ANDHRA PRADESH,East Godavari,5154296,2569688,2584608,3288577,1716933,1571644
546,ANDHRA PRADESH,West Godavari,3936966,1964918,1972048,2652389,1379223,1273166
547,ANDHRA PRADESH,Krishna,4517398,2267375,2250023,3009718,1598959,1410759
548,ANDHRA PRADESH,Guntur,4887813,2440521,2447292,2960441,1634726,1325715
549,ANDHRA PRADESH,Prakasam,3397448,1714764,1682684,1904435,1107686,796749
550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557,1492974,1470583,1832189,1011922,820267
551,ANDHRA PRADESH,Y.S.R.,2882469,1451777,1430692,1716766,994699,722067
552,ANDHRA PRADESH,Kurnool,4053463,2039227,2014236,2127161,1246369,880792
553,ANDHRA PRADESH,Anantapur,4081148,2064495,2016653,2310960,1338474,972486
554,ANDHRA PRADESH,Chittoor,4174064,2090204,2083860,2667878,1484794,1183084
555,KARNATAKA,Belgaum,4779661,2423063,2356598,3052032,1725548,1326484
556,KARNATAKA,Bagalkot,1889752,950111,939641,1113412,641388,472024
557,KARNATAKA,Bijapur,2177331,1111022,1066309,1248268,730566,517702
558,KARNATAKA,Bidar,1703300,870665,832635,1042673,597198,445475
559,KARNATAKA,Raichur,1928812,964511,964301,979769,577213,402556
560,KARNATAKA,Koppal,1389920,699926,689994,809085,468785,340300
561,KARNATAKA,Gadag,1064570,537147,527423,700177,397178,302999
562,KARNATAKA,Dharwad,1847023,937206,909817,1301664,711776,589888
563,KARNATAKA,Uttara Kannada,1437169,726256,710913,1081906,582099,499807
564,KARNATAKA,Haveri,1597668,819128,778540,1085443,603793,481650
565,KARNATAKA,Bellary,2452595,1236954,1215641,1421621,813440,608181
566,KARNATAKA,Chitradurga,1659456,840843,818613,1087392,607188,480204
567,KARNATAKA,Davanagere,1945497,986400,959097,1308540,720637,587903
568,KARNATAKA,Shimoga,1752753,877415,875338,1263016,674938,588078
569,KARNATAKA,Udupi,1177361,562131,615230,926429,465704,460725
570,KARNATAKA,Chikmagalur,1137961,566622,571339,818345,438257,380088
571,KARNATAKA,Tumkur,2678980,1350594,1328386,1813391,1006024,807367
572,KARNATAKA,Bangalore,9621551,5022661,4598890,7512276,4078041,3434235
573,KARNATAKA,Mandya,1805769,905085,900684,1149649,638668,510981
574,KARNATAKA,Hassan,1776421,883667,892754,1225256,668836,556420
575,KARNATAKA,Dakshina Kannada,2089649,1034714,1054935,1666323,864019,802304
576,KARNATAKA,Kodagu,554519,274608,279911,412877,215302,197575
577,KARNATAKA,Mysore,3001127,1511600,1489527,1962180,1063766,898414
578,KARNATAKA,Chamarajanagar,1020791,512231,508560,565279,312957,252322
579,KARNATAKA,Gulbarga,2566326,1301755,1264571,1427368,828359,599009
580,KARNATAKA,Yadgir,1174271,590329,583942,510003,306751,203252
581,KARNATAKA,Kolar,1536401,776396,760005,1016219,564110,452109
582,KARNATAKA,Chikkaballapura,1255104,636437,618667,783222,442158,341064
583,KARNATAKA,Bangalore Rural,990923,509172,481751,688749,385311,303438
584,KARNATAKA,Ramanagara,1082636,548008,534628,674758,378461,296297
585,GOA,North Goa,818008,416677,401331,663060,351738,311322
586,GOA,South Goa,640537,322463,318074,502427,264085,238342
587,LAKSHADWEEP,Lakshadweep,64473,33123,31350,52553,28023,24530
588,KERALA,Kasaragod,1307375,628613,678762,1037492,516476,521016
589,KERALA,Kannur,2523003,1181446,1341557,2138434,1012956,1125478
590,KERALA,Wayanad,817420,401684,415736,645585,328136,317449
591,KERALA,Kozhikode,3086293,1470942,1615351,2615443,1266939,1348504
592,KERALA,Malappuram,4112920,1960328,2152592,3311315,1597404,1713911
593,KERALA,Palakkad,2809934,1359478,1450456,2239492,1122600,1116892
594,KERALA,Thrissur,3121200,1480763,1640437,2678548,1282261,1396287
595,KERALA,Ernakulam,3282388,1619557,1662831,2855676,1425723,1429953
596,KERALA,Idukki,1108974,552808,556166,923010,471881,451129
597,KERALA,Kottayam,1974551,968289,1006262,1749798,861592,888206
598,KERALA,Alappuzha,2127789,1013142,1114647,1852797,890552,962245
599,KERALA,Pathanamthitta,1197412,561716,635696,1062553,499181,563372
600,KERALA,Kollam,2635375,1246968,1388407,2240273,1074345,1165928
601,KERALA,Thiruvananthapuram,3301427,1581678,1719749,2785408,1354857,1430551
602,TAMIL NADU,Thiruvallur,3728104,1876062,1852042,2791721,1495711,1296010
603,TAMIL NADU,Chennai,4646732,2335844,2310888,3776276,1968079,1808197
604,TAMIL NADU,Kancheepuram,3998252,2012958,1985294,3013382,1611461,1401921
605,TAMIL NADU,Vellore,3936331,1961688,1974643,2773928,1504355,1269573
606,TAMIL NADU,Tiruvannamalai,2464875,1235889,1228986,1626813,909803,717010
607,TAMIL NADU,Viluppuram,3458873,1740819,1718054,2195776,1234479,961297
608,TAMIL NADU,Salem,3482056,1781571,1700485,2285562,1285107,1000455
609,TAMIL NADU,Namakkal,1726601,869280,857321,1176131,653312,522819
610,TAMIL NADU,Erode,2251744,1129868,1121876,1492662,828300,664362
611,TAMIL NADU,The Nilgiris,735394,360143,375251,569647,299447,270200
612,TAMIL NADU,Dindigul,2159775,1080938,1078837,1481834,816180,665654
613,TAMIL NADU,Karur,1064493,528184,536309,727044,401726,325318
614,TAMIL NADU,Tiruchirappalli,2722290,1352284,1370006,2038981,1087765,951216
615,TAMIL NADU,Perambalur,565223,282157,283066,375823,208011,167812
616,TAMIL NADU,Ariyalur,754894,374703,380191,480604,269582,211022
617,TAMIL NADU,Cuddalore,2605914,1311697,1294217,1815281,1000322,814959
618,TAMIL NADU,Nagapattinam,1616450,798127,818323,1213008,640916,572092
619,TAMIL NADU,Thiruvarur,1264277,626693,637584,946471,503085,443386
620,TAMIL NADU,Thanjavur,2405890,1182416,1223474,1790998,944264,846734
621,TAMIL NADU,Pudukkottai,1618345,803188,815157,1110545,608776,501769
622,TAMIL NADU,Sivaganga,1339101,668672,670429,959744,526304,433440
623,TAMIL NADU,Madurai,3038252,1526475,1511777,2273430,1223810,1049620
624,TAMIL NADU,Theni,1245899,625683,620216,870080,479403,390677
625,TAMIL NADU,Virudhunagar,1942288,967709,974579,1398788,760375,638413
626,TAMIL NADU,Ramanathapuram,1353445,682658,670787,978946,536487,442459
627,TAMIL NADU,Thoothukkudi,1750176,865021,885155,1349697,703106,646591
628,TAMIL NADU,Tirunelveli,3077233,1520912,1556321,2273457,1210710,1062747
629,TAMIL NADU,Kanniyakumari,1870374,926345,944029,1548738,780541,768197
630,TAMIL NADU,Dharmapuri,1506843,774303,732540,917709,527599,390110
631,TAMIL NADU,Krishnagiri,1879809,960232,919577,1187958,667062,520896
632,TAMIL NADU,Coimbatore,3458045,1729297,1728748,2635907,1394790,1241117
633,TAMIL NADU,Tiruppur,2479052,1246159,1232893,1760566,959623,800943
634,PONDICHERRY,Yanam,55626,27301,28325,39274,19919,19355
635,PONDICHERRY,PONDICHERRY,950289,468258,482031,726649,380946,345703
636,PONDICHERRY,Mahe,41816,19143,22673,36470,16610,19860
637,PONDICHERRY,Karaikal,200222,97809,102413,154916,79903,75013
638,ANDAMAN AND NICOBAR ISLANDS,Nicobars,36842,20727,16115,25332,15397,9935
639,ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,105597,54861,50736,78683,43186,35497
640,ANDAMAN AND NICOBAR ISLANDS,South Andaman,238142,127283,110859,190266,105794,84472
